435,Publilius
436,Trebonius
437,Fabius
438,Papirius
440,Servilius
441,Sulpicius
442,Fabius
443,Furius
444,Fabius
445,Sulpicius
446,Papirius
448,Sempronius
449,Sulpicius
450,Manlius
451,Manlius
452,Sextilius
453,Albinius
454,Antistius
455,Trebonius
456,Erenucius
457,Furius
458,Cloelius
459,Horatius
460,Geganius
461,Servilius
462,Cloelius
464,Veturius
465,Sulpicius
466,Quinctius
468,Licinius
469,Sextius
471,Valerius
473,Cornelius
474,Cornelius
475,Quinctius
476,Quinctius
477,Servilius
478,Papirius
479,Veturius
481,Licinius
482,Geganius
483,Quinctius
484,Aemilius
485,Postumius
486,Furius
487,Quinctius
489,Genucius
490,Servilius
491,Popillius
492,Genucius
493,Manlius
494,Pinarius
495,(Cornelius or Mucius)
496,Pomponius
497,Manlius
498,Fabius
499,Poetelius
500,Manlius
501,Fabius
502,Plautius
503,Valerius
505,Marcius
506,Duillius
507,Menenius
510,Cornelius
511,Valerius
512,Iulius
513,Cornelius
514,Duillius
515,Decius
516,Papirius
517,Publilius
519,Cornelius
520,Aemilius
521,Quinctius
522,Valerius
523,Plautius
524,Fabius
525,Sulpicius
526,Furius
528,Fabius
529,Aemilius
530,Genucius
531,Salonius
533,Papirius
534,Papirius
536,Manlius
537,Valerius
538,Aemilius
539,Iunius
540,Maenius
541,Sulpicius
542,Aelius
543,Claudius
544,Claudius
545,Minucia
546,Duillius
547,Atilius
548,Postumius
549,Veturius
550,Cornelius
551,Antonius
552,Domitius
553,Papirius
555,Cornelius
556,Valerius
557,Claudius
559,Fabius
560,Plautius
561,Plautius
562,Plautius
563,Cornelius
564,Postumius
565,Cornelius
566,Flavius
568,Quinctius
569,Cominius
570,Valerius
571,Aulius
572,Fulvius
576,Aemilius
577,Valerius
578,Publilius
579,Folius
580,Livius
581,Maelius
582,Numicius
583,Antistius
584,Plautius
585,Papirius
586,Furius
587,Iunius
588,Aemilius
589,Nautius
590,Popillius
591,Claudius
592,Fabius
593,Poetelius
594,Ovinius
595,Fulvius
596,Decius
597,Plautius
598,Cominius
599,Laetorius
600,Atilius
601,Marcius
602,Decius
603,Sempronius
604,Fabius
605,Claudius
606,Cornelius
607,Furius
608,Volumnius
609,Postumius
610,Marcius
611,Cornelius
612,Cornelius
613,Iuventius
614,Minucius
615,Fulvius
616,Flavius
617,Sulpicius
619,Anicius
621,Cornelius
622,Cornelius
623,Genucius
624,Livius
625,Aemilius
626,Titinius
628,Cornelius
629,Fulvius
630,Appuleius
631,Ogulnius
632,Ogulnius
633,Genucius
634,Minucius
635,Publilius
636,Fulvius
637,Manlius
638,Domitius
639,Carvilius
640,Papirius
641,Curius
642,Fabius
644,Aelius
645,Fulvius
646,Manlius
647,Atilius
648,Opimius
649,Carvilius
650,Scantius
651,Caedicius
652,Iunius
