124,78
157,7
169,7
344,138
364,169
479,297
499,175
534,389
541,401
579,402
628,513
637,497
691,524
718,609
738,636
758,637
766,690
791,4999
803,629
807,682
810,662
853,4999
885,1384
916,3824
919,742
923,658
931,747
936,684
1042,762
1067,792
1085,698
1097,757
1097,762
1100,734
1103,734
1109,738
1127,675
1140,763
1151,734
1170,766
1172,766
1173,764
1178,699
1182,866
1194,699
1205,681
1209,712
1214,743
1251,766
1278,766
1290,776
1318,810
1323,814
1327,768
1332,814
1336,936
1384,787
1395,681
1422,1542
1424,891
1441,699
1442,787
1444,857
1471,785
1484,1114
1485,870
1485,1054
1500,926
1508,4817
1513,1077
1519,827
1525,878
1534,925
1543,925
1550,975
1562,984
1573,814
1594,1134
1595,1333
1598,878
1618,1176
1624,1194
1632,1190
1645,1186
1656,907
1657,1111
1679,1354
1682,907
1682,1134
1683,1221
1705,1443
1712,5212
1714,1333
1726,1117
1730,1140
1732,1090
1749,1468
1764,1403
1780,1321
1787,1424
1792,1474
1802,1466
1815,1466
1821,1466
1825,1265
1828,1265
1828,1454
1834,1102
1841,907
1851,1318
1865,1519
1866,1485
1876,1111
1882,1415
1896,1510
1903,1484
1947,1475
1966,1566
1974,1510
1981,1637
1982,1484
1990,1568
1993,1471
2012,1362
2012,1631
2021,1318
2026,1485
2031,1617
2036,1617
2038,1626
2069,1476
2085,1788
2088,4610
2119,1270
2119,1613
2120,885
2140,1452
2151,1655
2157,1558
2163,1485
2164,1561
2164,1575
2168,1712
2170,1551
2226,1621
2241,1651
2247,1635
2250,4885
2262,1649
2290,1568
2297,4100
2316,1417
2326,1786
2356,1568
2381,3925
2392,1705
2422,5158
2440,1613
2537,4018
2553,4724
2570,1784
2898,4724
2927,2104
2959,1117
3051,1819
3098,1363
3178,1594
3355,696
3382,1205
3383,1457
3524,993
3552,1475
3574,1271
3618,1757
3622,1188
3659,1205
3950,2520
4017,4018
4028,1613
4028,1679
4028,1695
4250,2370
4322,1902
4329,4931
4339,1902
4361,2162
4625,1476
4686,1614
4723,2553
4787,1205
4888,1495
4892,1542
