76,4804
114,4870
124,4810
214,124
231,5019
254,5019
303,5019
312,219
329,124
330,300
335,4782
415,291
486,340
487,483
501,400
529,484
546,4808
568,487
580,624
584,560
601,505
604,498
622,5171
628,5172
634,614
647,547
669,4754
680,588
681,610
692,4816
700,4816
709,642
716,570
718,609
727,4350
735,660
742,4996
747,4963
751,673
762,3942
767,4997
779,4997
781,699
783,4998
785,4753
786,4992
788,766
789,649
796,680
797,707
805,720
808,716
810,4802
823,765
826,739
827,786
836,734
845,747
852,747
856,721
857,791
857,853
865,696
888,813
902,805
903,780
903,782
904,803
905,751
912,813
919,742
921,5002
924,699
930,805
939,764
948,5004
949,824
952,827
952,4219
953,845
959,734
960,783
977,4961
982,778
987,4995
993,805
996,751
998,787
999,4961
1010,853
1011,778
1016,4246
1022,767
1022,779
1023,780
1024,812
1028,4507
1032,3428
1035,830
1067,4635
1079,776
1095,3428
1100,836
1101,820
1103,836
1123,925
1127,675
1128,959
1139,1106
1141,874
1151,836
1154,948
1163,830
1164,904
1169,855
1170,788
1172,4872
1173,939
1175,854
1178,924
1178,4216
1182,866
1183,818
1185,854
1187,835
1188,883
1192,936
1192,987
1194,924
1201,808
1204,4241
1205,4874
1214,942
1222,966
1226,916
1228,835
1237,1041
1242,4241
1247,4241
1251,4872
1259,1064
1265,995
1266,953
1274,855
1275,4817
1278,4872
1283,971
1284,971
1295,908
1295,1032
1309,3945
1311,3355
1322,921
1328,971
1331,3945
1337,866
1342,931
1353,1025
1354,4877
1355,1020
1356,880
1366,1110
1369,1109
1373,1239
1383,1225
1384,998
1387,1139
1390,1085
1395,4880
1406,1170
1409,1035
1413,1204
1418,984
1420,1172
1424,891
1434,1102
1441,1178
1442,998
1449,977
1452,1125
1454,995
1455,1041
1460,1201
1461,1244
1466,930
1471,4709
1481,1079
1483,1222
1483,4216
1484,1114
1485,1198
1485,1260
1486,1183
1487,1105
1489,989
1492,1466
1494,3356
1495,1216
1499,1187
1500,1288
1503,1275
1506,4806
1511,1141
1513,4228
1514,1224
1519,4755
1521,1092
1533,1131
1534,4818
1537,1183
1542,1216
1543,4818
1544,891
1544,996
1545,1291
1547,1354
1552,1291
1553,1067
1553,1471
1556,1291
1558,1412
1561,1222
1561,3344
1561,4216
1563,1283
1565,1131
1567,1288
1569,1275
1572,1187
1573,1323
1573,1332
1575,1222
1575,4216
1581,1194
1583,1304
1583,1439
1590,1328
1596,1456
1599,1118
1599,1452
1599,4288
1601,1328
1607,1356
1613,1289
1616,1404
1617,1356
1623,1411
1624,1247
1626,1180
1626,1471
1629,1556
1630,1366
1631,1362
1636,1449
1637,1321
1642,1265
1642,1454
1643,1447
1643,1480
1643,4899
1649,1544
1650,1270
1655,1550
1656,4020
1657,1111
1666,1405
1675,4900
1680,1494
1682,1433
1689,1411
1696,1411
1703,1420
1705,1443
1712,1483
1714,4894
1715,1583
1727,1464
1728,1420
1730,1572
1740,1616
1749,1627
1753,4288
1755,1552
1757,1614
1757,3618
1759,1484
1762,1583
1763,1630
1764,4787
1767,1675
1774,1648
1776,1557
1778,4271
1778,4275
1779,2973
1779,4054
1780,1637
1781,4903
1788,1520
1791,3383
1794,3098
1797,1575
1799,4307
1800,1406
1800,4669
1801,1583
1802,4886
1805,1551
1807,4288
1811,1666
1814,2973
1815,1466
1815,1492
1816,1630
1821,4886
1826,1600
1828,4101
1828,4307
1831,1682
1842,1634
1850,1662
1850,4023
1851,1784
1865,4293
1873,1617
1875,1665
1882,4866
1883,1362
1883,1631
1888,1460
1898,1714
1902,1670
1912,4412
1933,1786
1933,4820
1934,2466
1939,4439
1949,4156
1979,3383
1981,3999
1982,1759
1982,3947
1985,4439
1986,1826
1988,4561
1993,4706
1996,1743
1999,2973
1999,4054
2010,4279
2011,1689
2011,1696
2014,3476
2018,3366
2020,1714
2026,3991
2027,4036
2027,4047
2031,3018
2032,1749
2036,1873
2038,4713
2042,1704
2044,1825
2050,1715
2056,4920
2062,4052
2064,1792
2071,3780
2071,4759
2074,4715
2078,1701
2088,4514
2100,4407
2107,4908
2110,1928
2120,885
2140,4052
2151,1655
2152,3654
2163,3991
2169,3234
2175,1701
2176,1792
2182,4514
2216,4078
2216,4093
2219,4052
2226,4895
2235,1835
2235,2011
2261,1898
