614,MINU0614 Ti. Minucius (34) Augurinus
615,FULV0615 M. Fulvius (47) L. f. L. n. Curvus Paetinus
617,SULP0617 P. Sulpicius (97) Ser. f. P. n. Saverrio
629,FULV0629 Cn. Fulvius (88) Cn. f. Cn. n. Maximus Centumalus
636,FULV0636 M. Fulvius (96) Cn. f. Cn. n. Paetinus
638,DOMI0638 Cn. Domitius (45) Cn. f. Cn. n. Calvinus Maximus
640,PAPI0640 L. Papirius (53) L. f. Sp. n. Cursor
640,PAPI0640 L. Papirius (53) L. f. Sp. n. Cursor
641,CURI0641 M'. Curius (9) M'. f. M'. n. Cor. Dentatus
641,CURI0641 M'. Curius (9) M'. f. M'. n. Cor. Dentatus
641,CURI0641 M'. Curius (9) M'. f. M'. n. Cor. Dentatus
641,CURI0641 M'. Curius (9) M'. f. M'. n. Cor. Dentatus
641,CURI0641 M'. Curius (9) M'. f. M'. n. Cor. Dentatus
642,FABI0642 Q. Fabius (112) Q. f. M. n. Maximus Gurges
642,FABI0642 Q. Fabius (112) Q. f. M. n. Maximus Gurges
647,ATIL0647 M. Atilius (50) M. f. M. n. Regulus
649,CARV0649 Sp. Carvilius (9) C. f. C. n. Maximus
649,CARV0649 Sp. Carvilius (9) C. f. C. n. Maximus
657,IUNI0657 C. Iunius (56) C. f. C. n. Bubulcus Brutus
658,CORN0658 P. Cornelius (302) Cn. f. P. n. Rufinus
668,CLAU0668 C. Claudius (98) M. f. C. n. Canina
674,CORN0674 P. Cornelius (139) Dolabella
675,FABR0675 C. Fabricius (9) C. f. C. n. Luscinus
675,FABR0675 C. Fabricius (9) C. f. C. n. Luscinus
680,AEMI0680 L. Aemilius (31) Q. f. Q. n. Barbula
681,MARC0681 Q. Marcius (78) Q. f. Q. n. Philippus
683,CORU0683 Ti. Coruncanius (3) Ti. f. Ti. n. Pap.
688,CORN0688 L. Cornelius (210) Ti. f. Ser. n. Lentulus Caudinus
692,FABI0692 N. Fabius (124) C. f. M. n. Pictor
