105,MANL0105 A. Manlius (89) (Cn. f. P. n.) Vulso,Manlius,Vulso
106,IULI0106 Vop. Iulius (301) C. f. L. n. Iullus,Iulius,Iullus
107,VERG0107 Opet. Verginius (18) Opet. f.  Esquilinus,Verginius,Esquilinus
109,PINA0109 L. Pinarius (12) Mamercinus Rufus,Pinarius,Mamercinus
110,FURI0110 P. Furius (69) Medullinus Fusus,Furius,Medullinus
113,CLAU0113 Ap. Claudius (123) Ap. f. M. n. Crassinus Inregillensis Sabinus,Claudius,Crassinus
114,QUIN0114 T. Quinctius (24) (L. f. L. n.) Capitolinus Barbatus,Quinctius,Capitolinus
116,AEMI0116 Ti. Aemilius (99) L. f. Mam. n. Mamercus,Aemilius,Mamercus
121,NUMI0121 T. Numicius (4) Priscus,Numicius,Priscus
122,VERG0122 A. Verginius (13) (Tricostus) Caeliomontanus,Verginius,(Tricostus)
123,SERV0123 Q. Servilius (77) Structus Priscus,Servilius,Structus
124,FABI0124 Q. Fabius (165) M. f. K. n. Vibulanus,Fabius,Vibulanus
125,POST0125 Sp. Postumius (52b) A. f. P. n. Albus Regillensis,Postumius,Albus
126,POST0126 A. Postumius (52a) A. f. P. n. Albus Regillensis,Postumius,Albus
127,FURI0127 Sp. Furius (71) Medullinus Fusus,Furius,Medullinus
129,SERV0129 P. Servilius (73) Sp. f. P. n. Priscus,Servilius,Priscus
130,AEBU0130 L. Aebutius (11) T. f. T. n. Helva,Aebutius,Helva
132,VALE0132 M'. Valerius (67 cf. 243) (Maximus),Valerius,(Maximus)
133,LUCR0133 L. Lucretius (28) T. f. T. n. Tricipitinus,Lucretius,Tricipitinus
134,VETU0134 T. Veturius (18) T. f. - n. Geminus Cicurinus,Veturius,Geminus
135,TERE0135 C. Terentilius (RE 5A. 591f.) Harsa,Terentilius,Harsa
137,VOLU0137 P. Volumnius (10) M. f. M. n. Amintinus Gallus,Volumnius,Amintinus
138,SULP0138 Ser. (or P.) Sulpicius (36) - f. Ser. n. Camerinus Cornutus,Sulpicius,Camerinus
140,VOLS0140 M. Volscius (2) Fictor,Volscius,Fictor
141,CLAU0141 C. Claudius (322) Ap. f. M. n. Crassus Inregillensis Sabinus,Claudius,Crassus
142,QUIN0142 L. Quinctius (27) L. f. L. n. Cincinnatus,Quinctius,Cincinnatus
143,CORN0143 L. Cornelius (256) Ser. f. P. n. Maluginensis Uritinus,Cornelius,Maluginensis
145,SERV0145 Q. Servilius (28 cf. 77) (Structus) (Priscus),Servilius,(Structus)
146,FURI0146 -. (Furius?) (3.1968) Carve(tus),(Furius?),Carve(tus)
147,MINU0147 L. Minucius (40) P. f. M. n. Esquilinus Augurinus,Minucius,Esquilinus
148,TARQ0148 L. Tarquitius (6 cf. Tarquinius 10) L. f. Flaccus,Tarquitius,Flaccus
149,VALE0149 M. Valerius (246) M'. f. Volus. n. Maximus (Lactuca),Valerius,Maximus
151,MINU0151 Q. Minucius (41) P. f. M. n. Esquilinus,Minucius,Esquilinus
152,FABI0152 M. Fabius (161) Vibulanus,Fabius,Vibulanus
153,VERG0153 Sp. Verginius (20) A. f. A. n. Tricostus Caeliomontanus,Verginius,Tricostus
156,ROMI0156 T. Romilius (4) T. f. T. n. Rocus Vaticanus,Romilius,Rocus
157,VETU0157 C. Veturius (10) P. f. - n. Cicurinus,Veturius,Cicurinus
158,TARP0158 Sp. Tarpeius (4) M. f. M. n. Montanus Capitolinus,Tarpeius,Montanus
159,ATER0159 A. Aternius (RE 2.1923) Varus Fontinalis,Aternius,Varus
160,CALV0160 C. Calvius (2) Cicero,Calvius,Cicero
161,SICC0161 L. Siccius (3) Dentatus 'Achilles Romanus',Siccius,Dentatus
164,CURI0164 P. Curiatius (6) Fistus Trigeminus,Curiatius,Fistus
165,HORA0165 C. (or M.) Horatius (13) M. f. M. n. Pulvillus,Horatius,Pulvillus
166,MENE0166 T. Menenius (18) Agripp. f. Agripp. n. Lanatus,Menenius,Lanatus
168,GENU0168 T. Genucius (12) L. f. L. n. Augurinus,Genucius,Augurinus
169,VETU0169 Sp. Veturius (15) Crassus Cicurinus,Veturius,Crassus
170,VETU0170 L. Veturius (cf. 15) Crassus Cicurinus,Veturius,Crassus
172,SEST0172 P. Sestius (9) Q. f. V. n. Capito(linus) (Vaticanus),Sestius,Capito(linus)
173,CORN0173 M. Cornelius (246) - f. Ser. n. Maluginensis,Cornelius,Maluginensis
174,SERG0174 M. Sergius (24) Esquilinus,Sergius,Esquilinus
175,POET0175 Q. Poetelius (4) Libo Visolus,Poetelius,Libo
176,ANTO0176 T. Antonius (78) Merenda,Antonius,Merenda
177,DUIL0177 K. Duillius (4) (Longus),Duillius,(Longus)
178,OPPI0178 Sp. Oppius (27) Cornicen,Oppius,Cornicen
180,VALE0180 L. Valerius (304) P. f. P. n. Potitus Potitus,Valerius,Potitus
181,HORA0181 M. Horatius (8) M. f. L. (or P.) n. (Tu)rrinus Barbatus,Horatius,(Tu)rrinus
193,FURI0193 Q. Furius (24 cf. 76) (Pacilus) (Fusus),Furius,(Pacilus)
194,PAPI0194 M. Papirius (21 cf. 47) (Crassus),Papirius,(Crassus)
195,HERM0195 Lars (or Sp.) Herminius (1) Coritinesanus,Herminius,Coritinesanus
196,VERG0196 T. Verginius (23) Tricostus Caeliomontanus,Verginius,Tricostus
197,ATER0197 A. Aternius (1) (Varus) (Fontinalis),Aternius,(Varus)
198,TREB0198 L. Trebonius (9) Asper,Trebonius,Asper
199,GEGA0199 M. Geganius (4) M. f.  Macerinus,Geganius,Macerinus
200,IULI0200 C. Iulius (13) (Iullus),Iulius,(Iullus)
201,FURI0201  Furius (59) Fusus,Furius,Fusus
203,AEMI0203 Mam. Aemilius (16 97) M. f. Mamercinus,Aemilius,Mamercinus
205,GENU0205 M. Genucius (11) Augurinus,Genucius,Augurinus
206,CURT0206 C.? Curtius (15) Philo (or Chilo),Curtius,Philo (or Chilo)
209,SEMP0209 A. Sempronius (21) (A. f. - n.) Atratinus,Sempronius,Atratinus
210,ATIL0210 L. Atilius (41) Luscus,Atilius,Luscus
211,CLOE0211 T. Cloelius (12) Siculus,Cloelius,Siculus
212,PAPI0212 L. Papirius (65) Mugillanus,Papirius,Mugillanus
213,SEMP0213 L. Sempronius (25) A. f. - n. Atratinus,Sempronius,Atratinus
214,FABI0214 M. Fabius (162) (Q. f. M. n.) Vibulanus,Fabius,Vibulanus
215,AEBU0215 Post. Aebutius (14) Helva Cornicen,Aebutius,Helva
218,AEBU0218 M. Aebutius (12) Helva,Aebutius,Helva
219,FURI0219 C. Furius (76) Pacilus Fusus,Furius,Pacilus
220,PAPI0220 M. (or M'.) Papirius (47) Crassus,Papirius,Crassus
222,GEGA0222 Proc. Geganius (6) Macerinus,Geganius,Macerinus
223,MENE0223 L. Menenius (16 cf. 10 and 18) T. f. Agripp. n. Lanatus,Menenius,Lanatus
226,SERV0226 C. Servilius (32) Ahala,Servilius,Ahala
231,QUIN0231 L. Quinctius (28) L. f. L. n. Cincinnatus,Quinctius,Cincinnatus
234,CLOE0234 -. Cloelius (6) Tullus,Cloelius,Tullus
237,SERG0237 L. Sergius (25) C. f. C. n. Ser. Fidenas,Sergius,Fidenas
238,VALE0238 M. Valerius (206) M. f. M'. n. Lactuca (or Lactucinus) Maximus,Valerius,Lactuca
239,CORN0239 A. Cornelius (112) M. f. L. n. Cossus,Cornelius,Cossus
240,PAPI0240 L. Papirius (10 43) Crassus,Papirius,Crassus
241,CORN0241 M. Cornelius (247) (M. f. L. n.) Maluginensis,Cornelius,Maluginensis
243,VERG0243 L. Verginius (14) Tricostus,Verginius,Tricostus
244,SERV0244 Q. Servilius (75) P. f. Sp. n. Ser. Priscus Fidenas,Servilius,Priscus
245,MANL0245 M. Manlius (50) Capitolinus (Vulso),Manlius,Capitolinus
246,SULP0246 Q. Sulpicius (37) Ser. ? f. - n. Camerinus Praetextatus,Sulpicius,Camerinus
247,CORN0247 Ser. Cornelius (121) Cossus,Cornelius,Cossus
249,POST0249 A. Postumius (63) Tubertus,Postumius,Tubertus
251,PINA0251 L. Pinarius (11) Mamercinus,Pinarius,Mamercinus
252,FURI0252 L. Furius (65) Sp. f. - n. Medullinus,Furius,Medullinus
254,QUIN0254 T. Quinctius (34) L. f. L. n. Pennus Cincinnatus,Quinctius,Pennus
255,IULI0255 Cn. (or C.) Iulius (360) Mento,Iulius,Mento
258,POST0258 Sp. Postumius (52) Sp.? f. A.? n. Albus (Regillensis),Postumius,Albus
260,PAPI0260 C. Papirius (see 10 43) Crassus,Papirius,Crassus
261,IULI0261 L. (or C.) Iulius (296 cf. 14) Vop. f. C. n. Iullus,Iulius,Iullus
264,LUCR0264 Hostus Lucretius (27) Tricipitinus,Lucretius,Tricipitinus
266,SERV0266 C. Servilius (37) Structus Ahala,Servilius,Structus
267,PAPI0267 L. Papirius (cf. 65) (L. f. - n.) Mugillanus,Papirius,Mugillanus
268,POST0268 M. Postumius (17) (A. f. A. n.) (Albinus) (Regillensis),Postumius,(Albinus)
269,SEMP0269 A. Sempronius (22 cf. 2) L. f. A. n. Atratinus,Sempronius,Atratinus
270,HORA0270 L. Horatius (7) M. f. M. n. Barbatus,Horatius,Barbatus
271,CLAU0271 Ap. Claudius (121) Ap. f. Ap. n. Crassus,Claudius,Crassus
272,NAUT0272 Sp. Nautius (9) Sp. f. - n. Rutilus,Nautius,Rutilus
273,IULI0273 Sex. Iulius (300) Iullus,Iulius,Iullus
274,SEMP0274 C. Sempronius (24) Atratinus,Sempronius,Atratinus
275,FABI0275 Q. Fabius (46 166) Q. f. M. n. Vibulanus,Fabius,Vibulanus
278,MANL0278 L. Manlius (49) Capitolinus,Manlius,Capitolinus
279,ANTO0279 Q. Antonius (77) (T. f. - n.) Merenda,Antonius,Merenda
285,QUIN0285 T. Quinctius (25) T. f. L. n. Capitolinus Barbatus,Quinctius,Capitolinus
286,MANL0286 M. Manlius (96) Vulso,Manlius,Vulso
292,MENE0292  Menenius (4 13 14) T. f. Agripp. n. Lanatus,Menenius,Lanatus
293,LUCR0293 P. Lucretius (29) Hosti f. - n. Tricipitinus,Lucretius,Tricipitinus
294,NAUT0294 Sp. Nautius (10) Sp. f. Sp. n. Rutilus,Nautius,Rutilus
