Relationship Assertion: #1024,http://romanrepublic.ac.uk/rdf/entity/Person/1976,http://romanrepublic.ac.uk/rdf/entity/Person/3934,http://romanrepublic.ac.uk/rdf/entity/Relationship/3
Relationship Assertion: #1026,http://romanrepublic.ac.uk/rdf/entity/Person/4203,http://romanrepublic.ac.uk/rdf/entity/Person/771,http://romanrepublic.ac.uk/rdf/entity/Relationship/6
Relationship Assertion: #1027,http://romanrepublic.ac.uk/rdf/entity/Person/4237,http://romanrepublic.ac.uk/rdf/entity/Person/2553,http://romanrepublic.ac.uk/rdf/entity/Relationship/5
Relationship Assertion: #1028,http://romanrepublic.ac.uk/rdf/entity/Person/4238,http://romanrepublic.ac.uk/rdf/entity/Person/2553,http://romanrepublic.ac.uk/rdf/entity/Relationship/5
Relationship Assertion: #1029,http://romanrepublic.ac.uk/rdf/entity/Person/4239,http://romanrepublic.ac.uk/rdf/entity/Person/2553,http://romanrepublic.ac.uk/rdf/entity/Relationship/5
Relationship Assertion: #103,http://romanrepublic.ac.uk/rdf/entity/Person/832,http://romanrepublic.ac.uk/rdf/entity/Person/817,http://romanrepublic.ac.uk/rdf/entity/Relationship/6
Relationship Assertion: #1030,http://romanrepublic.ac.uk/rdf/entity/Person/1998,http://romanrepublic.ac.uk/rdf/entity/Person/1102,http://romanrepublic.ac.uk/rdf/entity/Relationship/26
Relationship Assertion: #1031,http://romanrepublic.ac.uk/rdf/entity/Person/4240,http://romanrepublic.ac.uk/rdf/entity/Person/4241,http://romanrepublic.ac.uk/rdf/entity/Relationship/3
Relationship Assertion: #1032,http://romanrepublic.ac.uk/rdf/entity/Person/781,http://romanrepublic.ac.uk/rdf/entity/Person/4241,http://romanrepublic.ac.uk/rdf/entity/Relationship/4
Relationship Assertion: #1033,http://romanrepublic.ac.uk/rdf/entity/Person/1993,http://romanrepublic.ac.uk/rdf/entity/Person/4242,http://romanrepublic.ac.uk/rdf/entity/Relationship/11
Relationship Assertion: #1034,http://romanrepublic.ac.uk/rdf/entity/Person/559,http://romanrepublic.ac.uk/rdf/entity/Person/498,http://romanrepublic.ac.uk/rdf/entity/Relationship/5
Relationship Assertion: #1035,http://romanrepublic.ac.uk/rdf/entity/Person/891,http://romanrepublic.ac.uk/rdf/entity/Person/751,http://romanrepublic.ac.uk/rdf/entity/Relationship/5
Relationship Assertion: #1036,http://romanrepublic.ac.uk/rdf/entity/Person/1424,http://romanrepublic.ac.uk/rdf/entity/Person/891,http://romanrepublic.ac.uk/rdf/entity/Relationship/19
Relationship Assertion: #1037,http://romanrepublic.ac.uk/rdf/entity/Person/1424,http://romanrepublic.ac.uk/rdf/entity/Person/891,http://romanrepublic.ac.uk/rdf/entity/Relationship/5
Relationship Assertion: #1038,http://romanrepublic.ac.uk/rdf/entity/Person/4243,http://romanrepublic.ac.uk/rdf/entity/Person/4244,http://romanrepublic.ac.uk/rdf/entity/Relationship/4
Relationship Assertion: #1039,http://romanrepublic.ac.uk/rdf/entity/Person/4245,http://romanrepublic.ac.uk/rdf/entity/Person/1596,http://romanrepublic.ac.uk/rdf/entity/Relationship/4
Relationship Assertion: #104,http://romanrepublic.ac.uk/rdf/entity/Person/1134,http://romanrepublic.ac.uk/rdf/entity/Person/1422,http://romanrepublic.ac.uk/rdf/entity/Relationship/3
Relationship Assertion: #1040,http://romanrepublic.ac.uk/rdf/entity/Person/1957,http://romanrepublic.ac.uk/rdf/entity/Person/1799,http://romanrepublic.ac.uk/rdf/entity/Relationship/5
Relationship Assertion: #1041,http://romanrepublic.ac.uk/rdf/entity/Person/4246,http://romanrepublic.ac.uk/rdf/entity/Person/878,http://romanrepublic.ac.uk/rdf/entity/Relationship/12
Relationship Assertion: #1043,http://romanrepublic.ac.uk/rdf/entity/Person/1433,http://romanrepublic.ac.uk/rdf/entity/Person/4247,http://romanrepublic.ac.uk/rdf/entity/Relationship/5
Relationship Assertion: #1044,http://romanrepublic.ac.uk/rdf/entity/Person/3946,http://romanrepublic.ac.uk/rdf/entity/Person/1525,http://romanrepublic.ac.uk/rdf/entity/Relationship/12
Relationship Assertion: #1045,http://romanrepublic.ac.uk/rdf/entity/Person/1637,http://romanrepublic.ac.uk/rdf/entity/Person/1981,http://romanrepublic.ac.uk/rdf/entity/Relationship/25
