88,MANL0088 Cn. Manlius (19) P. f. - n. Cincinnatus,cos. 480,-480
89,PONT0089 Ti. Pontificius (Pontificius),tr. pl. 480,-425
90,SICC0090 T. Siccius (2  cf. Sicinius 13),leg. lieut. 479,-425
91,VERG0091 T. Verginius (22) Opet. f. Opet. n. Tricostus Rutilus,cos. 479,-463
92,SERV0092 C. Servilius (87) Structus Ahala,cos. 478,-478
96,MENE0096 T. Menenius (17) Agrippae f. C. n. Lanatus,cos. 477,-476
97,VERG0097 A. Verginius (12) (Opet. ? f. Opet. n.) Tricostus Rutilus,cos. 476,-425
98,SERV0098 Sp. Servilius (85) (P. ? f. - n.) Structus,cos. 476,-425
99,CONS0099 Q. Considius (6),tr. pl. 476,-425
100,GENU0100 T. Genucius (8),tr. pl. 476,-425
101,NAUT0101 C. Nautius (5) Sp. f. Sp. n. Rutilus,cos. 475,-400
102,CAED0102 L. Caedicius (3),tr. pl. 475,-425
103,STAT0103 T. Statius (4),tr. pl. 475,-425
104,FURI0104 L. Furius (64) Medullinus,cos. 474,-400
105,MANL0105 A. Manlius (89) (Cn. f. P. n.) Vulso,cos. 474,-400
106,IULI0106 Vop. Iulius (301) C. f. L. n. Iullus,cos. 473,-400
107,VERG0107 Opet. Verginius (18) Opet. f.  Esquilinus,cos. suff. 478,-400
108,GENU0108 Cn. Genucius (4),tr. pl. 473,-473
109,PINA0109 L. Pinarius (12) Mamercinus Rufus,cos. 472,-400
110,FURI0110 P. Furius (69) Medullinus Fusus,cos. 472,-464
111,PUBL0111 Voler. Publilius (10),tr. pl. 472,-400
113,CLAU0113 Ap. Claudius (123) Ap. f. M. n. Crassinus Inregillensis Sabinus,cos. 471,-449
114,QUIN0114 T. Quinctius (24) (L. f. L. n.) Capitolinus Barbatus,cos. 471,-375
115,LAET0115 C. Laetorius (1),tr. pl. 471,-400
116,AEMI0116 Ti. Aemilius (99) L. f. Mam. n. Mamercus,cos. 470,-400
117,DUIL0117 M. Duillius (6),tr. pl. 470,-375
118,MECI0118 L. Mecilius (RE 15.17),tr. pl. 470,-400
119,NUMI0119 L. Numitorius (3),tr. pl. 470,-400
120,SICC0120 Cn. Siccius (1  cf. Sicinius 4),tr. pl. 470,-400
121,NUMI0121 T. Numicius (4) Priscus,cos. 469,-400
122,VERG0122 A. Verginius (13) (Tricostus) Caeliomontanus,cos. 469,-400
123,SERV0123 Q. Servilius (77) Structus Priscus,cos. 468,-400
124,FABI0124 Q. Fabius (165) M. f. K. n. Vibulanus,cos. 467,-375
125,POST0125 Sp. Postumius (52b) A. f. P. n. Albus Regillensis,cos. 466,-439
126,POST0126 A. Postumius (52a) A. f. P. n. Albus Regillensis,cos. 464,-400
127,FURI0127 Sp. Furius (71) Medullinus Fusus,cos. 464,-453
129,SERV0129 P. Servilius (73) Sp. f. P. n. Priscus,cos. 463,-463
130,AEBU0130 L. Aebutius (11) T. f. T. n. Helva,cos. 463,-463
131,AEMI0131 C. (Aemilius) (not in RE) Mamercus,dict.? 463,-400
132,VALE0132 M'. Valerius (67  cf. 243) (Maximus),aug. before 462,-463
133,LUCR0133 L. Lucretius (28) T. f. T. n. Tricipitinus,cos. 462,-400
134,VETU0134 T. Veturius (18) T. f. - n. Geminus Cicurinus,cos. 462,-400
135,TERE0135 C. Terentilius (RE 5A. 591f.) Harsa,tr. pl. 462,-400
136,TITI0136 Sex. Titius (22),tr. pl. 462,-400
137,VOLU0137 P. Volumnius (10) M. f. M. n. Amintinus Gallus,cos. 461,-400
