311,,Fabius,Vibulanus
312,,Furius,Pacilus
314,,Papirius,Mugillanus (or Atratinus)
316,,Aemilius,Mamercinus
322,,Fabius,Ambustus
325,,Iulius,Iullus
326,,Cornelius,Cossus
327,,Servilius,Ahala
328,,Cornelius,Rutilus
329,,Fabius,Vibulanus
330,,Cornelius,Cossus
332,,Manlius,Vulso
333,,Sergius,Fidenas
334,,Cornelius,Maluginensis
335,,Claudius,Crassus
336,,Quinctilius,Varus
337,,Iulius,Iullus
338,,Furius,Fusus
340,,Furius,Camillus
341,,Postumius,Albinus
342,,Servilius,Fidenas
343,,Verginius,Tricostus
344,,Sulpicius,Camerinus
347,,Iulius,Iullus
354,,Licinius,Calvus
355,,Manlius,Vulso
356,,Titinius,Pansa
357,,Maelius,Capitolinus
358,,Furius,Medullinus
359,,Publilius,Philo
360,,Genucius,Augurinus
361,,Atilius,Priscus
362,,Pomponius,Rufus
363,,Duillius,Longus
364,,Veturius,Crassus
365,,Publilius,Philo
366,,Valerius,Lactucinus
367,,Claudius,Ugo
368,,Marius,Appius
371,,Sergius,Fidenas
372,,Postumius,Albinus
373,,Cornelius,Maluginensis
374,,Manlius,Vulso
375,,Cornelius,Cossus
376,,Cornelius,Scipio
380,,Aemilius,Mamercinus
381,,Valerius,Poplicola
382,,Postumius,Albinus
384,,Catlus,Verus
387,,Lucretius,Tricipitinus
388,,Sulpicius,Camerinus
389,,Papirius,Cursor
390,,Cornelius,Maluginensis
391,,Manlius,Capitolinus
393,,Furius,Fusus
396,,Fabius,Ambustus
400,,Fabius,Ambustus
401,,Sulpicius,Longus
402,,Folius,(Flaccinator)
403,,Fabius,Dorsuo
406,,Manlius,Capitolinus
407,,Aemilius,Mamercinus
408,,Postumius,Albinus
409,,Papirius,Mugillanus
411,,Servilius,Ahala
414,,Furius,Camillus
415,,Quinctius,Cincinnatus
416,,Iulius,Iullus
417,,Aquillius,Corvus
418,,Sulpicius,Rufus
419,,Sergius,Fidenas
420,,Menenius,Lanatus
426,,Cornelius,Maluginensis
427,,Quinctius,Cincinnatus
428,,Horatius,Pulvillus
429,,Valerius,Potitus
432,,Cornelius,Cossus
433,,Papirius,Crassus
438,,Papirius,Crassus
440,,Servilius,Fidenas
441,,Sulpicius,(Camerinus)
442,,Fabius,Albus
443,,Furius,Medullinus
444,,Fabius,Ambustus
445,,Sulpicius,Peticus
446,,Papirius,Crassus
448,,Sempronius,Atratinus
449,,Sulpicius,Camerinus
450,,Manlius,Capitolinus
453,,Albinius,-
454,,Antistius,-
456,,Erenucius,-
